title,url,date,tag,K-E,description,company,publisher,platform
ANIMAL WELL,https://store.steampowered.com/app/813230/ANIMAL_WELL/?snr=1_7_7_7000_150_1,2024년 05월 09일,"소울라이크,다크 판타지,RPG,고난이도,액션",DARK SOULS™: REMASTERED,기억하시나요? 불이 있었습니다. 굉장한 호평을 받으며 장르를 재정립한 게임의 모든 것을 다시 경험해보세요. 아름답게 리마스터되어 60fps로 돌아가는 고해상도로 그려진 로드란으로 돌아가세요. 다크 소울 리마스터에는 본편과 심연의 아르토리우스 DLC가 포함됩니다.,QLOC,"FromSoftware, Inc",steam
DARK SOULS™: REMASTERED,https://store.steampowered.com/app/570940/DARK_SOULS_REMASTERED/?snr=1_7_7_7000_150_1,2018년 05월 24일,"무료 플레이,MOBA,멀티플레이어,전략,경쟁",Dota 2,"매일, 전 세계 수백 만의 플레이어가 백여 명의 도타 영웅 중 하나가 되어 전장에 뛰어듭니다. 10시간을 했든, 1,000시간을 했든 언제나 새롭게 느껴지는 무언가가 있습니다. 정기적인 업데이트로 게임플레이, 기능, 영웅이 끊임없이 진화하는 도타 2는 그 자체의 생명력으로 살아 숨 쉬는 게임입니다.",Valve,Valve,steam
Dota 2,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1,2013년 07월 10일,"협동,멀티플레이어,분할 화면,로컬 협동,퍼즐",It Takes Two,"It Takes Two에서 생애 가장 정신없는 여정을 시작하세요. 친구가 무료로 참가할 수 있게 친구 패스*로 초대하고, 함께 힘을 합쳐서 수많은 유쾌하고 획기적인 게임 플레이 챌린지를 헤쳐나가세요.",Hazelight,Electronic Arts,steam
It Takes Two,https://store.steampowered.com/app/1426210/It_Takes_Two/?snr=1_7_7_7000_150_1,2021년 03월 26일,"생존,좀비,오픈 월드,오픈 월드 생존 제작,2D",Project Zomboid,"Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die? All it takes is a bite..",The Indie Stone,The Indie Stone,steam
Project Zomboid,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_7000_150_1,2013년 11월 09일,"전략,도시 건설,시뮬레이션,기지 건설,경영","Manor Lords,Manor Lords 매너 로드","Manor Lords는 정밀한 도시 건설, 전술이 필요한 대규모 전투, 정교한 경제 및 사회 시뮬레이션을 특징으로 하는 중세 전략 게임입니다. 시간에 따라 계절이 지나고 날씨가 다채롭게 변화하며 도시가 흥망성쇠를 겪는 가운데 중세 영주가 되어 자신의 영토를 통치해 보세요.",Slavic Magic,Hooded Horse,steam
Manor Lords 매너 로드,https://store.steampowered.com/app/1363080/Manor_Lords/?snr=1_7_7_7000_150_1,2024년 04월 26일,"PvP,멀티플레이어,유머,협동,파티 게임,밈",Super Bunny Man,"토끼 코스튬을 입은 사람이 나오는 물리 엔진 기반 협동 플랫폼 게임! 친구 한 명 혹은 세 명(로컬 혹은 온라인)과 협력해 레벨을 깨고, 숨겨진 당근을 찾고, 시간과의 싸움을 하세요. 토끼의 광기를 체험해 보세요. 당근의 혼돈을 받아들이세요. Super Bunny Man이 되세요.",Catobyte,Catobyte Ltd,steam
Super Bunny Man,https://store.steampowered.com/app/673750/Super_Bunny_Man/?snr=1_7_7_7000_150_1,2023년 05월 17일,"무료 플레이,차량 전투,전투,제2차 세계 대전",War Thunder,"War Thunder는 제 2차 세계대전부터 현대전까지의 항공기, 전차, 함선, 헬리콥터를 플레이 할 수 있는 온라인 게임 역사상 가장 거대한 스케일과 광범위한 크로스 플랫폼 기능을 자랑하는 밀리터리 MMO 게임입니다. 지금 게임에 참여하셔서 War Thunder가 제공하는 지상, 공중, 해상의 거대한 전장 서사시에 직접 참여해보세요.",Gaijin Entertainment,Gaijin Network Ltd,steam
War Thunder,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_7000_150_2,2013년 08월 15일,"액션 로그라이크,로그라이크,인디,리플레이 가치",The Binding of Isaac: Rebirth,"The Binding of Isaac: Rebirth is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety.","Nicalis, Inc.","Nicalis, Inc.",steam
The Binding of Isaac: Rebirth,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_7_7_7000_150_2,2014년 11월 05일,"3인칭 슈팅,애니메이션,RPG,액션,슈팅,3D","Snowbreak: Containment Zone,스노우 브레이크: 포비든 존",은 정식 그랜드 오픈. 한겨울 전투 속에서 피어난 마지막 희망! 일정 메인 스토리를 클리어한 후 오렌지 등급 캐릭터 1명 무료 획득 가능!,Amazing Seasun Games,Amazing Seasun Games,steam
스노우 브레이크: 포비든 존,https://store.steampowered.com/app/2668080/_/?snr=1_7_7_7000_150_2,2023년 12월 25일,"도시 건설,시뮬레이션,건설,경영,전략,경제",Cities: Skylines,Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience.,Colossal Order Ltd.,Paradox Interactive,steam
